분류,자치구,행정동,공연/행사명,날짜/시간,장소,위도(X좌표),경도(Y좌표),시작일,종료일,2023년11월행사,2023년12월행사,2024년1월행사,2024년3월행사,2024년2월행사,2023년10월행사,2023년9월행사,2023년8월행사,2023년7월행사,2023년6월행사,2023년5월행사,2023년4월행사,2023년3월행사,2023년2월행사,2023년1월행사,2022년12월행사
콘서트,강남구,신사동,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강남)",2023-11-06~2023-11-06,광림아트센터 장천홀,37.52435576,127.025985,11/6/2023,11/6/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
뮤지컬/오페라,강남구,역삼1동,[8월 키즈예술공연 라이브 국악 뮤지컬] 꼬마 강치전,2023-08-19~2023-08-19,강남씨어터,37.49537321,127.0332838,8/19/2023,8/19/2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
전시/미술,강남구,청담동,[Beyond the Atolls],2023-05-02~2023-06-10,호리아트스페이스,37.52479907,127.0446105,5/2/2023,6/10/2023,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
연극,강남구,역삼1동,[강남문화재단] 10월 키즈예술공연 - 사부작당 향기장수 이야기,2023-10-21~2023-10-21,강남씨어터,37.49537321,127.0332838,10/21/2023,10/21/2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
클래식,강남구,신사동,[강남문화재단] 강남심포니오케스트라 159회 클래식품격콘서트 l GREAT CONCERTO SERIES,2023-10-05~2023-10-05,광림아트센터 장천홀,37.52435576,127.025985,10/5/2023,10/5/2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
클래식,강남구,신사동,[강남문화재단] 강남심포니오케스트라 160회 클래식품격콘서트 l GREAT CONCERTO SERIES,2023-11-09~2023-11-09,광림아트센터 장천홀,37.52435576,127.025985,11/9/2023,11/9/2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연극,강남구,역삼1동,[강남문화재단] 제968회 목요예술무대 - 마술연희극 심청,2023-10-05~2023-10-05,강남씨어터,37.49537321,127.0332838,10/5/2023,10/5/2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
콘서트,강남구,역삼1동,"[강남문화재단] 제969회 목요예술무대 - 일곱 번째 파장, 홍진호&박현수의 시네마 파라디소",2023-10-19~2023-10-19,강남씨어터,37.49537321,127.0332838,10/19/2023,10/19/2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
클래식,강남구,신사동,[강남문화재단]강남심포니오케스트라 제161회 클래식품격콘서트,2023-12-07~2023-12-07,광림아트센터 장천홀,37.52435576,127.025985,12/7/2023,12/7/2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전시/미술,강남구,역삼1동,[강남문화재단과 함께하는 초대전] space time gangnam (스페이스 타임 강남),2023-10-16~2023-10-31,역삼1문화센터,37.49537321,127.0332838,10/16/2023,10/31/2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
