name,add,real_add,행정동,price,총층수,1층포함여부,평수(㎡),대관단위(시간),총평수,수용인원수,시간당대관료,평당가격
홍대입구역 홍대 정문 팝업 통건물 by SHARE.IT,서울 마포구,서울 마포구 와우산로 101,,10000000,6,1,697,24,4182,1394,416666.6667,99.63334927
성수 팝업 서울숲 위팝 1st by SHARE.IT,서울 성동구,서울 성동구 서울숲4길 20,성수1가2동,800000,1,1,48,23,48,16,34782.6087,724.6376812
성수 팝업 서울숲 위팝 2nd by SHARE.IT,서울 성동구,서울 성동구 서울숲4길 26 1층,성수1가2동,900000,1,1,59.4,23,59.4,20,39130.43478,658.7615283
성수 팝업 연무장 온더무브 by SHARE.IT,서울 성동구,서울 성동구 연무장길 13 1층,성수2가3동,900000,1,1,36,23,36,12,39130.43478,1086.956522
성수 서울숲 팝업 건물 통대관 by SHARE.IT,서울 성동구,서울 성동구 서울숲4길 15-1 통건물,성수1가2동,6000000,6,0,697,23,4182,1394,260869.5652,62.37914042
연무장길 메인 팝업 공간 by SHARE.IT,서울 성동구,서울 성동구 성수일로 40,성수1가1동,1500000,1,1,45,23,45,15,65217.3913,1449.275362
DRC 홍대 팝업 통건물 by Share.IT,서울 마포구,서울 마포구 와우산로 82,,5000000,4,1,295.5,23,1182,394,217391.3043,183.9181932
성수 연무장 공장시설 by SHARE.IT,서울 성동구,서울 성동구 성수이로18길 6-1,성수2가3동,5000000,1,1,730,23,730,243,217391.3043,297.7963073
서울숲 2.7,서울 성동구,서울 성동구 서울숲2길 27,성수1가2동,4000000,1,1,60,23,60,20,173913.0435,2898.550725
뉴스 을지로점 을지로 팝업 통건물,서울 중구,서울 중구 을지로 127,을지로동,8000000,3,1,128.1,23,384.3,128,347826.087,905.0899999
연남방앗간,서울 마포구,서울 마포구 동교로29길 34,,3000000,3,1,101,23,303,101,130434.7826,430.4778304
을지로맨스 팝업 통건물,서울 중구,서울 중구 을지로 134,을지로동,5000000,5,1,106,23,530,177,217391.3043,410.1722724
연무장길 33,서울 성동구,서울 성동구 연무장길 33,성수2가3동,7000000,1,1,192,24,192,64,291666.6667,1519.097222
아파트먼트풀,서울 성동구,서울 성동구 뚝섬로17길 35,성수2가1동,25000000,2,1,311,24,622,207,1041666.667,1674.705252
러빈허,서울 마포구,서울 마포구 신촌로6길 22 동교동 177-12,,2000000,1,1,58.7,24,58.7,20,83333.33333,1419.647927
