BASE_DATE,ADM_CD,ADM_NM,시군구,버스정류장,랜드마크,카페
20220630,11230630,대치4동,강남구,14,3,123
20220630,11230640,역삼1동,강남구,50,16,434
20220630,11230770,압구정동,강남구,25,15,132
20220630,11250650,성내1동,강동구,21,2,71
20220630,11220530,서초3동,서초구,75,28,194
20220630,11220660,양재1동,서초구,73,4,114
20220630,11020540,회현동,중구,35,13,105
20220630,11020550,명동,중구,30,22,236
20220630,11020690,신당동,중구,8,8,49
20220630,11030660,이태원2동,용산구,21,2,41
20220630,11120510,녹번동,은평구,27,9,57
20220630,11120580,대조동,은평구,24,17,63
20220630,11100590,창1동,도봉구,21,7,27
20220630,11160690,공항동,강서구,57,6,42
20220630,11160700,방화1동,강서구,43,3,55
20220630,11160720,방화3동,강서구,21,6,20
20220630,11130640,홍제3동,서대문구,41,1,27
20220630,11250610,천호1동,강동구,19,2,27
20220630,11210580,낙성대동,관악구,36,7,89
20220630,11150720,신정4동,양천구,18,8,75
20220630,11010600,가회동,종로구,21,1,61
20220630,11010640,이화동,종로구,20,6,84
20220630,11230510,신사동,강남구,16,5,158
20220630,11130520,천연동,서대문구,37,7,18
20220630,11050530,화양동,광진구,20,6,141
20220630,11050600,구의1동,광진구,13,3,55
20220630,11050630,광장동,광진구,38,12,60
20220630,11040650,성수1가1동,성동구,32,16,64
20220630,11040660,성수1가2동,성동구,12,5,158
