역번호,역사명,노선번호,노선명,역위도,역경도,역사도로명주소,시군구,행정동
219,삼성(무역센터),S1102,2호선,,,서울특별시 강남구 테헤란로 지하538(삼성동),강남구 ,삼성1동
220,선릉,S1102,2호선,,,서울특별시 강남구 테헤란로 지하340(삼성동),강남구 ,삼성2동
221,역삼,S1102,2호선,,,서울특별시 강남구 테헤란로 지하156(역삼동),강남구 ,역삼1동
222,강남,S1102,2호선,,,서울특별시 강남구 강남대로 지하396(역삼동),강남구 ,역삼1동
336,압구정,I1103,3호선,,,서울특별시 강남구 압구정로 지하172(신사동),강남구 ,신사동
337,신사,I1103,3호선,,,서울특별시 강남구 도산대로 지하102(신사동),강남구 ,논현1동
343,매봉,I1103,3호선,,,서울특별시 강남구 남부순환로 지하2744(도곡동),강남구 ,도곡1동
344,도곡,I1103,3호선,,,서울특별시 강남구 남부순환로 지하2814(도곡동),강남구 ,도곡2동
345,대치,I1103,3호선,,,서울특별시 강남구 남부순환로 지하2952(대치동),강남구 ,대치2동
346,학여울,I1103,3호선,,,서울특별시 강남구 남부순환로 지하3104(대치동),강남구 ,대치2동
347,대청,I1103,3호선,,,서울특별시 강남구 일원로 지하2(일원동),강남구 ,개포3동
348,일원,I1103,3호선,,,서울특별시 강남구 일원로 지하121(일원동),강남구 ,일원본동
349,수서,I1103,3호선,,,서울특별시 강남구 광평로 지하270(수서동),강남구 ,수서동
729,청담,S1107,7호선,,,서울특별시 강남구 학동로 지하508(청담동),강남구 ,삼성1동
730,강남구청,S1107,7호선,,,서울특별시 강남구 학동로 지하346(삼성동),강남구 ,삼성2동
731,학동,S1107,7호선,,,서울특별시 강남구 학동로 지하180(논현동),강남구 ,논현2동
732,논현,S1107,7호선,,,서울특별시 강남구 학동로 지하102(논현동),강남구 ,논현1동
1848,압구정로데오역,I28K1,분당선,37.527385,127.040555,서울특별시 강남구 압구정동 495(강남구 압구정로 지하 402),강남구 ,청담동
1849,강남구청역,I28K1,분당선,37.517172,127.041275,서울특별시 강남구 학동로 지하 364,강남구 ,청담동
1850,선정릉역,I28K1,분당선,37.510275,127.043817,서울특별시 강남구 선릉로 지하 580(삼성동),강남구 ,삼성2동
1023,선릉역,I28K1,분당선,37.504479,127.048941,서울특별시 강남구 테헤란로 지하 340,강남구 ,삼성2동
1024,한티역,I28K1,분당선,37.496208,127.052883,서울특별시 강남구 선릉로 지하 228,강남구 ,도곡2동
1025,도곡역,I28K1,분당선,37.490914,127.055393,서울특별시 강남구 남부순환로 지하 2814,강남구 ,도곡2동
1026,구룡역,I28K1,분당선,37.486985,127.059496,서울특별시 강남구 개포동 175번지,강남구 ,개포2동
1027,개포동역,I28K1,분당선,37.489112,127.066027,서울특별시 강남구 개포동 지하 420(개포동),강남구 ,개포2동
1028,대모산입구역,I28K1,분당선,37.491347,127.072702,서울특별시 강남구 일원동 611번지,강남구 ,개포3동
1030,수서역,I28K1,분당선,37.487633,127.101118,서울특별시 강남구 광평로 지하 270(수서동),강남구 ,수서동
4125,신논현,S1109,수도권  도시철도 9호선,,,서울특별시 강남구 봉은사로 지하102,강남구 ,역삼1동
4126,언주,S1109,수도권  도시철도 9호선,,,서울특별시 강남구 봉은사로 201,강남구 ,논현2동
4127,선정릉,S1109,수도권  도시철도 9호선,,,서울특별시 강남구 선릉로 580,강남구 ,삼성2동
4128,삼성중앙,S1109,수도권  도시철도 9호선,,,서울특별시 강남구 봉은사로 501,강남구 ,삼성2동
