역번호,호선,역명,지번주소,주소
335,3,대치,서울특별시 강남구 대치동 317-3 대치역(3호선),강남구 대치동
336,3,학여울,서울특별시 강남구 대치동 514-3 학여울역(3호선),강남구 대치동
327,3,신사,서울특별시 강남구 신사동 667 신사역(3호선),강남구 신사동
326,3,압구정,서울특별시 강남구 신사동 668 압구정역(3호선),강남구 신사동
222,2,강남,서울특별시 강남구 역삼동 858 강남역(2호선),강남구 역삼동
221,2,역삼,서울특별시 강남구 역삼동 804 역삼역(2호선),강남구 역삼동
2813,8,강동구청,서울특별시 강동구 성내동 319 강동구청역(8호선),강동구 성내동
2811,8,암사,서울특별시 강동구 암사동 501 암사역(8호선),강동구 암사동
2812,8,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(8호선),강동구 천호동
2548,5,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(5호선),강동구 천호동
2549,5,강동,서울특별시 강동구 천호동 447 강동역(5호선),강동구 천호동
414,4,수유(강북구청),서울특별시 강북구 수유동 140 수유역(4호선),강북구 수유동
2514,5,송정,서울특별시 강서구 공항동 29-5 송정역(5호선),강서구 공항동
2512,5,개화산,서울특별시 강서구 방화동 846 개화산역(5호선),강서구 방화동
2513,5,김포공항,서울특별시 강서구 방화동 886 김포공항역(5호선),강서구 방화동
2511,5,방화,서울특별시 강서구 방화동 829-15 방화역(5호선),강서구 방화동
2547,5,광나루(장신대),서울특별시 광진구 광장동 237 광나루역(5호선),광진구 광장동
214,2,강변(동서울터미널),서울특별시 광진구 구의동 546-6 강변역(2호선),광진구 구의동
213,2,구의(광진구청),서울특별시 광진구 구의동 245-24 구의역(2호선),광진구 구의동
2729,7,건대입구,서울특별시 광진구 화양동 6-3 건대입구역(7호선),광진구 화양동
2728,7,어린이대공원(세종대),서울특별시 광진구 화양동 164-1 어린이대공원역(7호선),광진구 화양동
212,2,건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),광진구 화양동
413,4,쌍문,서울특별시 도봉구 창동 703-4 쌍문역(4호선),도봉구 창동
412,4,창동,서울특별시 도봉구 창동 135-1 창동역(4호선),도봉구 창동
2622,6,망원,서울특별시 마포구 망원동 378 망원역(6호선),마포구 망원동
315,3,무악재,서울특별시 서대문구 홍제동 26-1 무악재역(3호선),서대문구 홍제동
314,3,홍제,서울특별시 서대문구 홍제동 161-1 홍제역(3호선),서대문구 홍제동
329,3,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서초구 반포동
2736,7,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),서초구 반포동
332,3,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역(3호선),서초구 서초동
331,3,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),서초구 서초동
330,3,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(3호선),서초구 서초동
224,2,서초,서울특별시 서초구 서초동 1748-5 서초역(2호선),서초구 서초동
223,2,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(2호선),서초구 서초동
210,2,뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),성동구 성수동
211,2,성수,서울특별시 성동구 성수동2가 300-1 성수역(2호선),성동구 성수동
4130,9,종합운동장,서울특별시 송파구 잠실동 123 종합운동장역(9호선),송파구 잠실동
4131,9,삼전,서울특별시 송파구 잠실동 347 삼전역(9호선),송파구 잠실동
218,2,종합운동장,서울특별시 송파구 잠실동 122 종합운동장역(2호선),송파구 잠실동
217,2,잠실새내,서울특별시 송파구 잠실동 33 잠실새내역(2호선),송파구 잠실동
249,2,신정네거리,서울특별시 양천구 신정동 1231 신정네거리역(2호선),양천구 신정동
248,2,양천구청,서울특별시 양천구 신정동 276-7 양천구청역(2호선),양천구 신정동
2520,5,신정(은행정),서울특별시 양천구 신정동 1090 신정역(5호선),양천구 신정동
2631,6,이태원,서울특별시 용산구 이태원동 119-23 이태원역(6호선),용산구 이태원동
2612,6,역촌,서울특별시 은평구 녹번동 153-31 역촌역(6호선),은평구 녹번동
313,3,녹번,서울특별시 은평구 녹번동 55 녹번역(3호선),은평구 녹번동
2613,6,불광,서울특별시 은평구 대조동 13-10 불광역(6호선),은평구 대조동
312,3,불광,서울특별시 은평구 대조동 13-10 불광역(3호선),은평구 대조동
2537,5,동대문역사문화공원(DDP),서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),중구 광희동
422,4,동대문역사문화공원(DDP),서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),중구 광희동
2538,5,청구,서울특별시 중구 신당동 295-2 청구역(5호선),중구 신당동
2634,6,약수,서울특별시 중구 신당동 369-2 약수역(6호선),중구 신당동
2633,6,버티고개,서울특별시 중구 신당동 366-454 버티고개역(6호선),중구 신당동
2635,6,청구,서울특별시 중구 신당동 295-2 청구역(6호선),중구 신당동
323,3,약수,서울특별시 중구 신당동 369-44 약수역(3호선),중구 신당동
206,2,신당,서울특별시 중구 신당동 99 신당역(2호선),중구 신당동
