자치구 행정동,골목_컨셉,갤러리_컨셉,음악_컨셉,행정동,한옥 개수,예술_컨셉
성동구 성수1가2동,2.0,0.0,0.0,성수1가2동,0.0,0.0
성동구 성수1가1동,2.0,0.0,0.0,성수1가1동,0.0,1.0
강남구 압구정동,2.0,0.0,0.0,압구정동,0.0,0.0
강남구 신사동,4.0,0.0,11.0,신사동,0.0,0.0
강남구 역삼1동,0.0,0.0,0.0,역삼1동,0.0,0.0
강남구 대치4동,0.0,0.0,0.0,대치4동,0.0,0.0
중구 회현동,1.0,0.0,0.0,회현동,2.0,1.0
중구 명동,3.0,0.0,0.0,명동,0.0,0.0
서초구 양재1동,1.0,0.0,0.0,양재1동,0.0,2.0
서초구 서초3동,0.0,0.0,0.0,서초3동,0.0,0.0
광진구 화양동,2.0,0.0,1.0,화양동,0.0,0.0
종로구 가회동,1.0,0.0,0.0,가회동,244.0,0.0
중구 신당동,2.0,0.0,2.0,신당동,1.0,0.0
강남구 대치동,0.0,1.0,7.0,대치동,0.0,0.0
강북구 수유동,0.0,1.0,1.0,수유동,0.0,0.0
광진구 능동18,0.0,1.0,0.0,능동18,0.0,0.0
마포구 상암동,0.0,2.0,14.0,상암동,1.0,10.0
서초구 염곡동,0.0,1.0,0.0,염곡동,1.0,0.0
성동구 성수동1가1동,0.0,1.0,0.0,성수동1가1동,0.0,0.0
성동구 성수동1가2동,0.0,1.0,0.0,성수동1가2동,0.0,0.0
성동구 옥수동,0.0,2.0,2.0,옥수동,0.0,0.0
성동구 옥수동168-1,0.0,1.0,0.0,옥수동168-1,0.0,0.0
성동구 용답동,0.0,1.0,0.0,용답동,0.0,0.0
양천구 목동,0.0,1.0,4.0,목동,0.0,0.0
영등포구 여의도동,0.0,1.0,16.0,여의도동,0.0,0.0
용산구 용산동2가,0.0,1.0,0.0,용산동2가,0.0,0.0
용산구 용산동6가,0.0,2.0,0.0,용산동6가,0.0,0.0
용산구 이태원동,0.0,1.0,1.0,이태원동,2.0,0.0
용산구 후암동,0.0,2.0,1.0,후암동,2.0,1.0
종로구 경운동,0.0,1.0,0.0,경운동,5.0,0.0
종로구 관훈동,0.0,1.0,0.0,관훈동,10.0,0.0
종로구 사직동,0.0,1.0,3.0,사직동,15.0,5.0
종로구 신교동,0.0,2.0,0.0,신교동,0.0,0.0
종로구 신문로1가,0.0,3.0,0.0,신문로1가,0.0,0.0
종로구 신문로2가,0.0,1.0,0.0,신문로2가,0.0,0.0
종로구 청운동,0.0,1.0,0.0,청운동,4.0,0.0
종로구 화동,0.0,1.0,0.0,화동,27.0,0.0
중구 서소문동,0.0,4.0,1.0,서소문동,0.0,0.0
강남구 개포동,0.0,0.0,3.0,개포동,0.0,0.0
강남구 논현동,0.0,0.0,24.0,논현동,0.0,0.0
강남구 도곡동,0.0,0.0,2.0,도곡동,0.0,0.0
강남구 삼성동,0.0,0.0,16.0,삼성동,0.0,0.0
강남구 역삼동,0.0,0.0,21.0,역삼동,0.0,0.0
강남구 청담동,0.0,0.0,11.0,청담동,0.0,0.0
강동구 길동,0.0,0.0,1.0,길동,0.0,0.0
강동구 명일동,0.0,0.0,1.0,명일동,0.0,0.0
강동구 성내동,0.0,0.0,5.0,성내동,0.0,0.0
강동구 암사동,0.0,0.0,1.0,암사동,0.0,0.0
강동구 천호동,0.0,0.0,1.0,천호동,0.0,0.0
강북구 미아동,0.0,0.0,1.0,미아동,0.0,0.0
강서구 가양동,0.0,0.0,1.0,가양동,0.0,0.0
강서구 내발산동,0.0,0.0,1.0,내발산동,0.0,0.0
강서구 등촌동,0.0,0.0,3.0,등촌동,0.0,0.0
강서구 마곡동,0.0,0.0,1.0,마곡동,0.0,0.0
강서구 방화동,0.0,0.0,5.0,방화동,0.0,0.0
강서구 염창동,0.0,0.0,3.0,염창동,0.0,0.0
강서구 화곡동,0.0,0.0,2.0,화곡동,0.0,0.0
관악구 봉천동,0.0,0.0,5.0,봉천동,0.0,0.0
관악구 신림동,0.0,0.0,1.0,신림동,0.0,0.0
광진구 광장동,0.0,0.0,2.0,광장동,0.0,2.0
광진구 구의동,0.0,0.0,3.0,구의동,0.0,0.0
광진구 군자동,0.0,0.0,1.0,군자동,0.0,0.0
광진구 자양동,0.0,0.0,6.0,자양동,0.0,0.0
광진구 중곡동,0.0,0.0,3.0,중곡동,0.0,0.0
구로구 고척동,0.0,0.0,1.0,고척동,0.0,0.0
구로구 구로동,0.0,0.0,6.0,구로동,0.0,0.0
구로구 오류동,0.0,0.0,3.0,오류동,0.0,0.0
구로구 천왕동,0.0,0.0,1.0,천왕동,0.0,0.0
금천구 가산동,0.0,0.0,8.0,가산동,0.0,0.0
금천구 독산동,0.0,0.0,1.0,독산동,0.0,0.0
금천구 시흥동,0.0,0.0,1.0,시흥동,0.0,0.0
도봉구 쌍문동,0.0,0.0,1.0,쌍문동,0.0,0.0
도봉구 창동,0.0,0.0,3.0,창동,0.0,0.0
동대문구 신설동,0.0,0.0,1.0,신설동,6.0,0.0
동대문구 용두동,0.0,0.0,1.0,용두동,4.0,0.0
동작구 노량진동,0.0,0.0,1.0,노량진동,0.0,0.0
